"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"93-03-21-31","1006-001-04","1006-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",25,2,99,1,31,1,1,,0,11,97,,,7,97,,,3,1,3,,,,,,1,1,,,,2,,6,3,37,3,3,37
"93-03-21-31","1006-001-04","1006-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"93-03-21-31","1006-001-04","1006-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"64-95-83-64","1006-001-05","1006-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",42,1,99,1,8,1,1,,0,7,97,,,1,98,,28,7,1,1,1,2,,,,1,2,,,,2,,3,2,22,1,2,22
"64-95-83-64","1006-001-05","1006-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",26,2,5,1,31,1,1,,0,11,97,,,3,97,,,3,1,1,1,2,,,,1,1,,,,2,,3,2,22,3,2,22
"64-95-83-64","1006-001-05","1006-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01","1007-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",29,1,1,1,14,1,1,,0,1,98,,17,8,97,,,7,1,1,1,3,,,,1,2,,,,2,,99,,,,,
"54-26-09-51","1007-001-01","1007-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",28,2,2,1,31,1,1,,0,1,97,,,3,97,,,3,1,1,1,3,,,,1,1,,,,2,,8,2,22,3,2,22
"54-26-09-51","1007-001-01","1007-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,3,1,31,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01","1007-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"54-26-09-51","1007-001-01","1007-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,3,99,1,31,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
