"y4_hhid","cluster","strata","hhweight","region","district","ward","village","ea","month","quarter","urban","area","mainland","femalehead","hhsize","adulteq","intyear","intmonth","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"5051-001",20310206464,2,5889.29541015625,2,3,102,7,5,8,3,2,2,1,0,6,5.43999999761581,2015,5,130000,425200,0,0,360000,0,144000,85707.8188265381,328386.0625,5356000,3770000,15500,0,10614794,1.00564885139465,75103.5546875,52864.1484375,217.345977783203,0,1822.90173339844,5962.291015625,0,0,5048.03564453125,0,2019.21423339844,1201.82250976563,4604.73486328125,148844.046875
"6436-001",230208307200,2,1953.63391113281,23,2,83,1,307,9,3,2,2,1,1,3,1.91999998688698,2015,6,145000,106400,31000,0,12000,0,102000,8357.78532290983,60000,1173640,0,55000,65000,1758397.75,1.00564885139465,46628.61328125,0,2185.14501953125,2582.44409179688,5760.8369140625,4227.26220703125,1231.62719726563,0,476.758911132813,0,4052.45068359375,332.054046630859,2383.79467773438,69860.984375
"7880-001",90505207808,2,2717.35815429688,9,5,52,5,3,8,3,2,2,1,0,4,3.08000001311302,2015,5,179200,348800,0,0,180000,0,108000,64847.5017877792,360000,4136600,2056600,43000,52000,7529047.5,1.00564885139465,102449.9140625,50935.1875,1064.96801757813,1287.86828613281,4438.19189453125,8638.6240234375,0,0,4458.00537109375,0,2674.80322265625,1606.05847167969,8916.0107421875,186469.640625
"6759-001",30602201088,2,2521.4326171875,3,6,22,2,9,7,3,2,2,1,1,6,5.31999999284744,2015,4,105000,594400,156000,260000,240000,0,210000,85167.1056006026,594558.3125,2691000,1008800,225000,611000,6780925.5,1.00564885139465,38585.2109375,14464.7939453125,3226.18823242188,8760.8935546875,1505.55444335938,8522.8720703125,2236.82373046875,3728.03955078125,3441.26733398438,0,3011.10888671875,1221.17822265625,8525.142578125,97229.0703125
"6764-001",30602201088,2,2521.4326171875,3,6,22,2,9,7,3,2,2,1,1,8,7.52000007033348,2015,4,400000,785200,237000,0,120000,0,172000,63168.1867191887,973372.9375,4035200,1300000,387000,0,8472941,1.00564885139465,40932.2890625,13186.9482421875,3925.65307617188,0,4057.52270507813,7964.9169921875,2404.08227539063,0,1217.2568359375,0,1744.73474121094,640.765869140625,9873.70703125,85947.875
"6229-001",180605206528,2,3677.17895507813,18,6,52,2,6,7,3,2,2,1,0,6,5.0799999833107,2015,4,219000,281200,125000,0,12000,0,162000,55236.2472789801,480000,2938000,0,257000,195000,4724436,1.00564885139465,44117.09375,0,3859.11938476563,2928.12573242188,3288.51025390625,4222.50732421875,1877.00366210938,0,180.192352294922,0,2432.5966796875,829.429077148438,7207.69384765625,70942.265625
"7710-001",50516201472,2,1908.27099609375,5,5,162,3,2,7,3,2,2,1,0,3,2.28000000119209,2015,4,205000,2093200,18000,78000,300000,2000,96000,35648.1286130617,240000,2191800,936000,0,0,6195648,1.00564885139465,73330.5390625,31315.533203125,0,0,6858.63720703125,70031.703125,602.221801757813,2609.62768554688,10037.029296875,66.9135284423828,3211.849609375,1192.67114257813,8029.6240234375,207286.34375
"5053-001",20310206464,2,5889.29541015625,2,3,102,7,5,8,3,2,2,1,0,4,3.36000007390976,2015,5,72000,466000,0,0,96000,0,81600,26631.1086902336,521427.5625,2360800,31200,11000,0,3666658.5,1.00564885139465,53596.78125,708.327514648438,249.730850219727,0,1634.60192871094,10579.5068359375,0,0,2179.46923828125,0,1852.548828125,604.600891113281,11837.8681640625,83243.4296875
"7147-001",200509210624,2,4265.13037109375,20,5,92,4,1,9,3,2,2,1,0,3,2.28000000119209,2015,6,326000,454600,257000,0,264000,10000,210000,83680.4844490197,240000,2722200,260000,0,321100,5148580.5,1.00564885139465,91076.0078125,8698.7587890625,0,10742.9677734375,10906.9052734375,15209.4453125,8598.388671875,0,8832.5859375,334.567657470703,7025.9208984375,2799.67846679688,8029.6240234375,172254.859375
"6554-001",160406208512,2,2284.884765625,16,4,62,3,5,8,3,2,2,1,0,2,1.87999999523163,2015,5,120000,53200,0,0,0,0,61200,13323.0489749282,36000,1613444.5,0,0,52000,1949167.5,1.00564885139465,65465.875,0,0,2109.91186523438,4869.02734375,2158.60205078125,0,0,0,0,2483.20385742188,540.585754394531,1460.70812988281,79087.9140625
