"y5_hhid","booster","cluster","strata","hhweight2","urban","area","region","district","month","quarter","mainland","femalehead","hhsize","adulteq","intyear","intmonth","hhweight_pan","hhweight","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"8070-001-01",0,190714101760,3,2356.16284179688,1,3,19,197,6,2,1,0,2,1.75999999046326,2021,6,2042.06408691406,2356.16284179688,127000,11200,12000,0,18000,0,38400,13999.4814728969,39401.74609375,992195.9375,26000,0,26000,1304197.25,0.986486971378326,43838.79296875,1148.77368164063,0,1148.77368164063,5611.31787109375,494.856384277344,530.203247070313,0,795.304870605469,0,1696.650390625,618.547546386719,1740.9111328125,57624.13671875
"5833-001-01",0,10607102976,3,4769.8720703125,1,3,1,16,6,2,1,1,4,3.39999997615814,2021,6,5752.3037109375,4769.8720703125,71000,5200,15600,0,0,0,24000,474.510485411396,168200.3125,1375020,182000,19500,13000,1873994.75,0.986486971378326,31448.7890625,4162.615234375,445.994506835938,297.329681396484,1623.87744140625,118.931869506836,356.795593261719,0,0,0,548.916320800781,10.8527727127075,3846.99560546875,42861.09375
"5067-001-01",0,20505100288,3,7839.3203125,1,3,2,25,6,2,1,0,5,3.31999999284744,2021,6,7825.001953125,7839.3203125,728000,185200,12000,0,96000,0,4710000,79361.904693581,479713.125,1352000,0,0,0,7642275,0.986486971378326,31667.400390625,0,0,0,17051.677734375,4337.87158203125,281.071594238281,0,2248.57275390625,0,110320.609375,1858.86486816406,11236.14453125,179002.203125
"8357-001-04",0,170204102656,3,2805.83374023438,1,3,24,244,5,2,1,1,5,3.63999998569489,2021,5,2925.53442382813,2805.83374023438,197001,15600,116000,60000,48000,0,45600,41065.6096753538,166543,5046809.5,156000,0,0,5892619,0.986486971378326,107817.5234375,3332.70629882813,0,0,4208.63134765625,333.270629882813,2478.16625976563,1281.81005859375,1025.44812011719,0,974.175659179688,877.30517578125,3557.94165039063,125886.9765625
"6568-001-14",0,160510296064,3,1307.18322753906,1,3,16,165,5,2,1,0,8,6.52000001072884,2021,5,1312.2197265625,1307.18322753906,180500,10400,21600,0,30000,0,97200,28708.4410283143,199685.46875,4403363.5,0,30200,13000,5014657.5,0.986486971378326,52518.3125,0,360.191253662109,155.049209594727,2152.79858398438,124.039367675781,257.620239257813,0,357.805877685547,0,1159.291015625,342.401641845703,2381.62109375,59809.1328125
"7979-001-01",0,190416109568,3,2160.26049804688,1,3,19,194,6,2,1,0,10,8.16000005602837,2021,6,1599.89477539063,2160.26049804688,70000,5200,57600,0,36000,0,150000,10413.9550460316,108730.1015625,14871340,0,110000,1690000,17109284,0.986486971378326,141720.859375,0,1048.27770996094,16105.357421875,667.085815429688,49.5549430847168,548.916320800781,0,343.072692871094,0,1429.46960449219,99.2428741455078,1036.17578125,163048
"8188-001-01",0,60408102912,3,1480.05102539063,1,3,6,64,9,3,1,0,3,2.80000007152557,2021,9,1574.05871582031,1480.05102539063,0,53200,29000,0,0,0,12000,28460.0246584909,147449.328125,993807.4375,0,240000,208000,1711916.875,0.961722493171692,28311.28515625,0,6837.04736328125,5925.44091796875,0,1515.54553222656,826.143249511719,0,0,0,341.852386474609,810.760559082031,4200.49169921875,48768.5703125
"7656-001-01",0,50307305472,3,4931.26123046875,1,3,5,53,8,3,1,0,11,9.40000000596046,2021,8,5379.64794921875,4931.26123046875,227000,146000,36000,78000,96000,0,126000,84301.9294200939,205395.796875,2691000,2636400,202000,388700,6916798,0.961722493171692,22835.01171875,22371.693359375,1714.11083984375,3298.390625,1926.25329589844,1238.91186523438,305.485107421875,661.884399414063,814.626953125,0,1069.19787597656,715.360656738281,1742.92651367188,58693.85546875
"6703-001-01",0,30403102720,3,2170.54516601563,1,3,3,34,8,3,1,0,2,2.08000004291534,2021,8,2402.46240234375,2170.54516601563,6500,35200,12000,0,48000,0,80400,115700.375819293,465497.4375,1807832.75,0,215000,0,2786130.75,0.961722493171692,69328.2578125,0,8244.9970703125,0,249.267349243164,1349.87866210938,460.185882568359,0,1840.74353027344,0,3083.24536132813,4436.97314453125,17851.279296875,106844.8359375
"7027-001-01",0,210107105280,3,6733.82666015625,1,3,21,211,7,3,1,0,5,4.15999999642372,2021,7,6583.8447265625,6733.82666015625,112500,36000,12000,0,72000,0,98400,16408.4069246516,336343.6875,3334263.75,104000,300000,0,4421916,0.961722493171692,63932.546875,1994.13891601563,5752.32373046875,0,2157.12133789063,690.278869628906,230.09294128418,0,1380.55773925781,0,1886.76220703125,314.621551513672,6449.1923828125,84787.640625
"7066-001-01",0,210416107520,3,6709.1201171875,1,3,3,33,9,3,1,0,1,1,2021,9,7199.8212890625,6709.1201171875,200000,66000,826000,0,0,0,72000,19674.4626626725,258829.28125,2000342.375,312000,0,0,3754846.25,0.961722493171692,159558.421875,24886.853515625,0,0,15953.111328125,5264.52685546875,65886.3515625,0,0,0,5743.1201171875,1569.34448242188,20645.662109375,299507.40625
"8549-001-01",0,240312107008,3,305.869995117188,1,3,24,243,9,3,1,0,13,11.4800000786781,2021,9,446.473114013672,305.869995117188,173000,89200,166000,1584000,108000,0,252000,40519.3035879146,187778.84375,5106400,0,3395000,0,11101898,0.961722493171692,35480.38671875,0,23589.203125,0,1202.04187011719,619.781127929688,1153.40441894531,11005.978515625,750.407653808594,0,1750.951171875,281.536987304688,1304.728515625,77138.421875
