"interview__key","interview__id","item_id","obs_id","vil_item_avail","vil_unit_start","vil_loc_unit","vil_loc_unit_os","vil_loc_weight","vil_loc_price","vil_loc_photo","dist_item_avail","dist_unit_start","dist_loc_unit","dist_loc_unit_os","dist_loc_weight","dist_loc_price","dist_loc_photo"
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",9,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",9,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",10,1,1,1,1,,1.7,20000,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",10,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",10,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",11,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",11,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",11,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",12,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",12,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",12,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",13,1,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",13,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",13,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",14,1,1,1,2,,1.8,1000,"** PHOTO **",,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",14,2,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",14,3,1,2,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",15,1,2,,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",15,2,2,,,,,,,,,,,,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",15,3,2,,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",1,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",1,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",1,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",3,1,1,1,2,,0.27,500,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",3,2,1,1,2,,0.62,1000,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",3,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",4,1,1,1,1,,0.04,100,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",4,2,1,1,1,,0.1,200,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",4,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",5,1,1,1,2,,0.5,500,"** PHOTO **",,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",5,2,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",5,3,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",6,1,1,2,,,,,,,,,,,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",6,2,1,2,,,,,,,,,,,,
