"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"21-11-75-86","1063-001-01",1,43,2,1,1,1,2,"DAKI",2,28,1,28,1,2,0,,,,,2,,1,,7,2,,5,5,,,756,315000,1,2
"21-11-75-86","1063-001-01",2,11,2,1,1,2,,"DK",3,60,1,60,1,3,0,,,,,2,,1,,7,2,,6,6,,,3150,875000,1,2
"21-11-75-86","1063-001-01",2,41,2,1,1,2,,"PUNDAMILIA",2,40,1,40,1,2,0,,,,,2,,1,,4,2,,7,7,,,280,240000,1,2
"63-59-38-21","1064-001-01",1,11,2,1,1,2,,"KIENYEJI",2,3,1,3,1,2,0,,,,,2,,1,,0.5,2,,5,5,,,108,36000,1,
"63-59-38-21","1064-001-01",1,13,2,2,1,2,,"NYEUPE",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,7,7,,,324,90000,1,
"63-59-38-21","1064-001-01",1,22,2,1,1,2,,"NYEUPE",2,200,1,200,1,2,0,,,,,2,,1,,1,2,,6,8,,,480,72000,1,
"63-59-38-21","1064-001-01",1,32,2,1,1,2,,"KIENYEJI",2,1,1,1,1,2,0,,,,,2,,1,,0.5,2,,6,7,,,50,50000,1,
"63-59-38-21","1064-001-01",1,43,2,1,1,2,,"NYEKUNDU",2,1,1,1,1,2,0,,,,,2,,1,,0.25,2,,8,8,,,20,40000,1,
"51-70-28-89","1076-001-01",1,11,1,,,1,2,"YA KIENYEJI",2,3,5,0,,,0,,,,,2,,1,,0.5,2,,7,7,,,144,45000,1,
"51-70-28-89","1076-001-01",1,31,1,,,1,2,"SOYA",2,4,1,2,1,2,2,1,1200,4,1,2,,1,,0.1,1,1,2,2,,,10,12000,1,
"45-88-08-27","1077-001-01",1,11,1,,,2,,"HYBREED",1,6,1,0,,,6,1,30000,16,2,1,3,1,,0.5,1,4,8,8,,,720,180000,1,6
"45-88-08-27","1077-001-01",2,89,1,,,2,,"KISASA",1,750,5,0,,,750,5,60000,16,2,2,,1,,0.5,2,,8,8,,,2000,1000000,1,
"45-88-08-27","1077-001-01",3,89,1,,,2,,"KISASA",1,3,1,0,,,3,1,240000,16,2,1,8,2,6,,,,,,,,,,,
"83-42-33-56","1078-001-01",1,11,1,,,2,,"MBEGU YA KIENYEJI",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,9,9,,,360,120000,1,2
"83-42-33-56","1078-001-01",2,11,1,,,2,,"MBEGU YA KIENYEJI",2,8,1,8,1,2,0,,,,,2,,1,,1,1,1,10,10,,,120,40000,1,2
"83-42-33-56","1078-001-01",3,89,1,,,2,,"MKULIMA",1,150,5,0,,,150,5,60000,4,1,2,,1,,1,2,,4,4,,,3780,810000,1,2
"51-38-42-66","1079-001-01",1,11,1,,,2,,"MBEGU ASILI",2,10,1,0,,,10,1,7000,4,1,2,,1,,0.25,2,,8,8,,,480,124000,1,
"51-38-42-66","1079-001-01",2,11,1,,,2,,"STUKA",1,6,1,0,,,6,1,66000,16,1,2,,1,,1,2,,8,8,,,480,124000,1,
"70-13-86-62","1080-001-01",1,11,1,,,1,2,"ASILI",2,1,1,1,1,2,0,,,,,2,,2,3,,,,,,,,,,,
"70-13-86-62","1080-001-01",1,31,1,,,1,2,"NJANO",2,2,1,2,1,2,0,,,,,2,,1,,0.03,2,,3,3,,,20,30000,1,2
"15-64-51-68","1081-001-01",1,11,1,,,2,,"HI BRIDGE",1,5,1,0,,,5,1,25000,4,1,2,,1,,0.5,1,1,7,7,,,108,30000,1,2
"40-74-76-77","1082-001-01",1,11,1,,,2,,"SEED CO",1,8,1,0,,,8,1,40000,16,2,2,,1,,0.5,1,1,7,7,,,720,300000,1,2
"71-92-06-80","1083-001-01",1,11,1,,,2,,"KILIMA",2,24,1,24,1,2,0,,,,,1,5,1,,2,2,,9,9,,,300,45000,1,
"74-62-00-18","1097-001-04",1,11,1,,,2,,"PUNDAMILIA",1,4,1,0,,,4,1,20000,16,2,2,,1,,0.2,1,9,7,7,,,360,180000,1,
"08-25-45-41","1134-001-01",1,11,2,2,1,1,2,"SEEDCO",3,2,1,2,1,3,0,,,,,2,,1,,0.13,2,,5,5,,,120,42000,1,2
"08-25-45-41","1134-001-01",1,31,2,2,1,1,2,"MAZIWA",1,6,1,0,,,6,1,15000,4,1,2,,1,,0.13,2,,4,4,,,60,108000,1,2
"39-24-29-81","1159-001-01",1,43,2,1,1,1,2,"MBEGU YA ASILI",2,1,1,0,,,1,1,2500,4,1,2,,2,2,,,,,,,,,,,
"02-54-47-04","1198-001-01",2,12,1,,,2,,"MBAWA MBILI",2,30,1,0,,,30,1,30000,16,1,2,,1,,1.5,2,,7,7,,,140,200000,1,2
"59-82-97-20","1233-001-01",2,11,1,,,2,,"MAHINDI",1,120,1,0,,,120,1,840000,9,1,1,8,1,,25,1,4,6,7,,,10000,5000000,1,
"61-64-62-24","1235-001-02",1,11,1,,,1,2,"SEEDCO",1,1,1,0,,,1,1,2500,2,1,2,,1,,0.06,2,,5,6,,,35,28000,2,
"61-64-62-24","1235-001-02",1,32,1,,,1,2,"KUNDE  NENE",2,250,5,0,,,250,5,400,4,3,2,,1,,0.06,2,,3,6,,,18,18000,2,
"61-64-62-24","1235-001-02",1,998,2,1,1,1,2,"MATEMBELE",2,1,1,0,,,1,1,1000,2,1,2,,1,,0.06,2,,3,6,,,9,8000,2,
"32-46-17-36","1236-001-04",2,11,1,,,2,,"KATUMBILI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,6,6,,,630,140000,1,
"28-24-87-55","1305-001-01",2,11,1,,,2,,"ZEBRA",1,12,1,0,,,12,1,60000,5,1,2,,1,,2,2,,8,8,,,1080,540000,1,
