"interview__key","interview__id","cm_e01","cm_e02","cm_e03","cm_e04__1","cm_e04__2","cm_e04__3","cm_e04__4","cm_e05","cm_e06","cm_e07_1","cm_e07_2","cm_e08","cm_e09","cm_e10","cm_e11","cm_e12","cm_e13","cm_e14","cm_e15","cm_e16","cm_e17","cm_e18","cm_e19_b","cm_e19_c","cm_e20__1","cm_e20__2","cm_e20__3","cm_e20__4","cm_e20__5","cm_e20__6","cm_e20__7","cm_e20__8","cm_e20__9","cm_e20__10","cm_e20__11","cm_e20__12","cm_e21"
"13-75-01-91","ebe20bc5bc7c4e68b57e2f1c6090c08e",2,,,,,,,2,,"MWANAGATI",2,6000,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"13-86-41-70","1dae3cc3f13645798704c27e6a1c5772",2,,,,,,,1,7000,"NYAKABANGA",0,6000,0,6,2,,,3,3,4,3,2,,,,,,,,,,,,,,,
"13-90-90-46","75239c4f0b424430a36ff97d2f18507b",1,10,150,0,1,1,0,2,,"KWA HAJI TUMBO",30.4,7500,0,0,2,,,3,1,2,1,2,,,,,,,,,,,,,,,
"13-91-33-31","eada5d2637e2453c9b94b1138850b725",2,,,,,,,2,,"KANAZI",5,6000,2,0,2,,,3,2,3,3,2,,,,,,,,,,,,,,,
"14-25-36-11","59e8a1477c2e4cd8a82359140295ebec",1,8,100,0,1,0,1,2,,"MAFINGA",60,5000,5,4,2,,,2,3,3,3,2,,,,,,,,,,,,,,,
"14-78-98-65","219c4558fe794d93b25cdaa6f45898b7",2,,,,,,,1,5000,"IGOGO",0.3,5000,6,8,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"14-88-21-28","98855ffce9a4466fa1be7f67411cef09",2,,,,,,,2,,"NYAMAGANA MTAA WA MITI MIREFU",10,2500,,,2,,,2,4,1,3,2,,,,,,,,,,,,,,,
"15-14-18-98","6cb0f62882a34c72a57342836c312efc",2,,,,,,,2,,"MWANZA MINISTER MTAA WA PAMBA A",2,5500,,4,2,,,2,2,1,1,2,,,,,,,,,,,,,,,
"15-18-34-06","cdd34ce87a194d1bb7bc95833d35d428",2,,,,,,,2,,"MWEMBELADU",3,7000,30,50,1,220,100,2,4,1,2,2,,,,,,,,,,,,,,,
"15-18-39-59","ef86d8e7554b46fb82edf7e517f76ba8",2,,,,,,,1,,"MOMBASA",1,,,,2,,,3,3,3,3,2,,,,,,,,,,,,,,,
"15-37-10-99","8d30be71117040fab4ce9e26f8af0e14",2,,,,,,,2,,"MWAKISANDU KATANI",9,6000,5,0,2,,,5,5,2,3,2,,,,,,,,,,,,,,,
"15-38-21-02","7affc2474ff6432bad68f8b8c5970a97",1,1,60,1,1,0,1,1,12000,"MLILAYOYO",14,12000,8,20,1,60,20,4,4,4,4,2,,,,,,,,,,,,,,,
"15-43-13-32","945b2a0ed9164eb3a924315fe1c2ca88",1,1,150,1,1,0,0,2,,"MTAMA",15,1000,1,1,2,,,1,2,2,2,2,,,,,,,,,,,,,,,
"15-72-61-48","792ce303f61f45c98f419dde9a9a4bee",2,,,,,,,1,2500,"KINYEREZI",0.5,2500,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"15-76-36-37","8692a2b4c2b24b708e632d07f4a07d4b",1,3,60,1,1,0,0,2,,"KWA HAJI TUMBO",68,8000,0,0,2,,,3,3,2,4,2,,,,,,,,,,,,,,,
"15-95-84-19","f29231969a5b4af5882eb895873225ed",2,,,,,,,2,,"MANZESE",1,3500,100,100,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"16-03-65-14","6c497bddf9cc44eaa74d041b7ad24600",1,1,45,1,0,0,0,2,,"KIJIJI CHA KAMWANDA",300,6250,20,50,2,,,5,5,3,5,2,,,,,,,,,,,,,,,
"16-08-16-73","3d35bf342bf14c76b74a5d292014ae38",1,1,34,0,0,0,0,2,,"NANGURUKULU",15,10000,5,150,1,34,0,2,2,1,4,2,,,,,,,,,,,,,,,
"16-19-85-85","40e816918f534ced9e7310dbe18172fc",2,,,,,,,2,,"KISONGO",26,6000,1,2,2,,,2,2,2,2,1,21,214,0,0,0,0,0,0,0,0,1,1,1,0,1
"16-49-36-99","143e4faef10f4210a3c7a5f405c77376",2,,,,,,,1,10000,"BABATI",1,10000,10,20,1,50,26,3,1,3,1,2,,,,,,,,,,,,,,,
"16-88-05-29","7e5434541642423aa74fd8c546af937d",2,,,,,,,2,,"MBWEWE",5,1500,0,3,2,,,1,4,1,1,1,6,61,0,0,0,0,0,0,0,1,1,1,1,1,2
"17-36-03-69","652a993227894c51aec492470b9e69e8",2,,,,,,,1,5000,"KIJIJI CHA BUZIKU",15,1000,5,6,2,,,2,4,2,2,2,,,,,,,,,,,,,,,
"17-40-86-49","ded7f5d9f403414eb52ebbe538234407",1,5,50,0,0,1,0,1,13000,"MPINJI",1,12000,0,0,2,,,2,2,3,2,2,,,,,,,,,,,,,,,
"17-79-17-09","85ac9c3be9684f3cbffdc03b912a532e",1,1,,0,1,0,0,1,6000,"MAMBALI",15,6000,,,2,,,1,3,1,3,1,14,143,1,0,0,0,0,0,0,0,0,0,1,1,2
"17-89-27-01","6cd5004547c24ce9a0f8509b2da272dc",2,,,,,,,2,,"CHANIKA",9,5000,0,25,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"18-08-37-11","ba8d153ebaa84813be93fac74236fb22",2,,,,,,,2,,"KARIAKOO",3,5000,10,8,2,,,2,3,2,3,2,,,,,,,,,,,,,,,
"18-17-35-50","51ebc08efcb44960bee0a3c4a55713f2",2,,,,,,,2,,"MBAGALA RANGITATU",2,5000,,,2,,,1,3,1,3,2,,,,,,,,,,,,,,,
"18-25-05-22","294278e5b2914a92ad69e606a81584ec",1,2,52,0,1,0,0,2,,"KWA HAJI TUMBO",24,9000,0,25,2,,,5,3,5,3,2,,,,,,,,,,,,,,,
"18-31-12-38","d8e858a01bf644b6bb6f617974e34231",2,,,,,,,2,,"TANGA MJINI",9,7000,20,50,2,,,3,4,3,3,2,,,,,,,,,,,,,,,
"18-57-85-56","1e7edef68d3b4de28554d101fdd30f50",2,,,,,,,1,6000,"BOMANG'OMBE",15,6000,4,2,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"18-69-36-93","1cee32c5e8a94f2c99a2cd662929c718",1,1,250,0,1,1,0,1,2500,"NDANDA",0,12000,18,50,2,,,3,1,4,3,2,,,,,,,,,,,,,,,
"19-25-14-50","8a69d6d3a47e40b3947804870c16d97f",2,,,,,,,1,6000,"CHAMWINO",25,6000,0,0,2,,,3,2,2,2,1,1,14,0,0,0,0,0,0,0,0,1,1,0,0,2
"19-32-48-58","8e0afcd96b0c4a548378d1ce71419c82",2,,,,,,,2,,"KARIAKOO",8,2000,200,200,2,,,3,3,1,1,2,,,,,,,,,,,,,,,
"19-41-11-33","be0d3fe60bf44e029bca424bed2b5835",2,,,,,,,2,,"KIKOMBO",2,7500,,,2,,,3,3,3,3,1,1,15,0,0,0,0,1,1,1,1,1,1,1,0,2
"19-62-24-10","0ac9ecae7a84456f91ca05f96d0cb08f",2,,,,,,,2,,"TANGA MJINI",12,14000,5,50,2,,,4,4,4,4,2,,,,,,,,,,,,,,,
"19-86-35-77","4cbce22a484a4ac08bfe92e0d38b6b12",1,1,15,0,1,0,0,2,,"NZOKA",8,6000,10,5,2,,,5,2,1,4,2,,,,,,,,,,,,,,,
"20-14-91-34","77b63d1267364fb69824735c3fc555d2",2,,,,,,,1,8000,"KIMARA",1,8000,,,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"20-70-41-87","6aae68762f2a445781745cdbabd8fc4e",2,,,,,,,2,,"LUMUMBA",3,5000,5,70,2,,,3,3,1,1,2,,,,,,,,,,,,,,,
"20-70-55-59","221ad84269d34b79bcc9abd41d8f2fb7",2,,,,,,,1,4000,"NSOHO",1,400,0,15,2,,,5,3,3,4,2,,,,,,,,,,,,,,,
"20-81-51-95","2d3ead54fa8846ddaca9a812767244d8",2,,,,,,,1,6000,"ARUSHA",6,6000,10,17,1,82,70,2,2,2,2,2,,,,,,,,,,,,,,,
"20-99-51-49","1239f3addf194bb69a0e174eb45de43f",2,,,,,,,2,,"RUANGWA",,15000,0,15,2,,,4,2,4,4,2,,,,,,,,,,,,,,,
"21-01-77-43","3562090d2a41401086709383c4ea763c",1,1,186,1,1,0,0,2,,"MABURI",5,6250,4,6,2,,,1,2,1,1,2,,,,,,,,,,,,,,,
"21-06-86-31","ce7a8dc61bed49f788d823da1855a9b8",2,,,,,,,2,,"IFAKARA MJINI",2,6000,0,0,2,,,3,4,1,2,2,,,,,,,,,,,,,,,
"21-22-59-73","404e1855c677452594a51e7f25017970",2,,,,,,,1,6000,"DODOMA",3,6000,21,16,2,,,1,2,1,2,2,,,,,,,,,,,,,,,
"21-58-46-84","e167edae1264402caad7fd6007f8ebce",2,,,,,,,2,,"KIBAIGWA",25,6500,4,13,2,,,1,1,3,2,1,1,13,1,1,1,1,0,0,0,0,0,1,1,1,2
"21-75-41-89","b4688b9b5df1411fb72588d659f08550",2,,,,,,,2,,"DODOMA MJINI",22,2500,1,10,2,,,1,2,1,2,2,,,,,,,,,,,,,,,
"21-77-87-53","8330886c38624292b1c08b474de626eb",2,,,,,,,1,5500,"SIMA",0.5,5500,41,65,2,,,5,5,2,2,2,,,,,,,,,,,,,,,
"22-15-51-55","b0d7925bf5034026bacd2b3def1a1aed",2,,,,,,,2,,"NATIONAL NYAKATO",3,5000,40,130,2,,,2,2,1,1,2,,,,,,,,,,,,,,,
"22-31-06-49","34c6e2eec2104bd6b8158b19b8f304b7",2,,,,,,,2,,"MBINGA MJINI",2,11000,5,50,2,,,3,3,3,3,2,,,,,,,,,,,,,,,
"23-06-49-35","3280da4efd664a14afee47f8d1773ffe",1,17,255,0,1,0,0,2,,"MATANGATUWANI",11.2,2500,7,50,2,,,5,5,2,2,2,,,,,,,,,,,,,,,
"23-20-71-88","3f51b1c5c88149b497fbaf5a3b721ad3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-25-29-43","7b8bfe8da50645ec800fb52c567640ea",2,,,,,,,1,6500,"NYAKALIRO",19,6000,12,15,2,,,1,2,2,2,2,,,,,,,,,,,,,,,
"23-37-02-38","19fb087b522840408d9cba2d169af80e",1,1,54,1,1,0,0,2,,"KAHAMA",179,1950,6,12,2,,,1,1,1,1,1,25,251,0,0,0,0,0,0,0,0,0,1,1,0,1
"23-45-19-58","9299d162d3fa4df4be895ccafa978868",2,,,,,,,2,,"MOSHI MJINI",2,6000,7,9,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"23-48-88-31","56c8e7f3edcb40c9baa9df4ac4f47a32",2,,,,,,,2,,"MBAGALA",8,12000,40,100,2,,,4,4,4,4,2,,,,,,,,,,,,,,,
"23-59-46-86","0c8e8c0303bb4aafb7284409833adb66",2,,,,,,,2,,"KARIAKOO",5,,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"23-96-87-25","e333d8bdca374a92836a9590dd86c471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-61-44-03","0bb43ac4010e4e01be773a81aaf0087c",2,,,,,,,2,,"SAWALA",3,6500,,,2,,,3,3,3,3,2,,,,,,,,,,,,,,,
"24-89-09-94","e7dfecff6ffe4286aa2195d8bcb3486d",2,,,,,,,2,,"GONGO LA MBOTO",3,3000,5,50,2,,,3,4,3,4,2,,,,,,,,,,,,,,,
"25-17-54-76","361ad171963841bbb3645046cf22af46",2,,,,,,,2,,"KIBANDA MAITI",4.5,6000,10,7,2,,,4,1,4,2,2,,,,,,,,,,,,,,,
"25-18-70-60","c2b5fc68a90d40849ab1387e4f8d82df",1,1,10,0,0,0,0,2,,"KIRANDO",8,12500,6,12,2,,,5,5,3,1,1,15,153,0,0,0,0,0,0,0,0,1,1,0,0,2
"25-29-15-47","ccac1f2e0ca14ec5b8059348d689cda0",2,,,,,,,2,,"KINONDONI",5,13000,150,200,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"25-31-09-10","5382382a0c534f86ba72eaccdf6d5a62",2,,,,,,,1,6000,"KAGERANKANDA",4,6000,3,6,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"25-48-61-60","2d891d2b92f149c79e9bc21c992d2f57",2,,,,,,,1,6000,"ARUSHA",6,6000,9,6,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"25-61-70-00","785074df619d463f8053802c92e96b74",2,,,,,,,1,12000,"MURUMBA",0,12000,4,0,2,,,1,1,3,3,1,1,17,1,1,1,1,1,1,0,0,0,0,0,1,2
"25-66-18-83","deee90b66083439f8882b5a61c567ae2",1,1,20,1,0,0,0,1,6000,"ITEZI MAGHARIBI",0,6000,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"25-76-69-65","d69f20c67b984d9f97e954ec7932412d",2,,,,,,,1,6000,"NASETANI",1,6000,20,50,2,,,2,2,2,1,1,21,215,1,0,0,0,0,0,0,1,1,1,1,1,2
"25-83-12-16","708f3c300a4e4de3860f6671178f6f90",2,,,,,,,2,,"CHAKE CHAKE",16,8000,5,4,2,,,1,2,1,1,2,,,,,,,,,,,,,,,
"26-24-28-41","7011f375562a47a8a25ebc1220d773eb",2,,,,,,,2,,"DODOMA",6,5000,,,2,,,2,2,2,2,2,,,,,,,,,,,,,,,
"26-26-10-66","98f4915937cb4971804f8c440a7e9bb6",2,,,,,,,1,6000,"IKOLA",0,6000,30,100,2,,,3,3,1,3,2,,,,,,,,,,,,,,,
"26-26-74-78","5a5a63e955564390989d3cdd4b7a8323",2,,,,,,,2,,"NEWALA MJINI",30,15000,0,0,1,200,125,3,2,2,4,2,,,,,,,,,,,,,,,
"26-45-77-73","16c36538583a48b2a46d8d34bff44f6b",2,,,,,,,2,,"PANGALE",1,6000,,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"26-49-97-56","1187a5d303b24b28aa79e895929ae24d",1,1,500,1,1,0,0,2,,"NDANDA",3,15000,8,30,2,,,4,4,1,4,2,,,,,,,,,,,,,,,
"26-70-20-65","43cab16657fc4334bb802d0f4c11975b",1,4,2500,0,0,0,1,2,,"NEWALA MJINI",16,8000,9,20,2,,,5,4,2,4,2,,,,,,,,,,,,,,,
"27-01-55-62","d7df1a6faea440f2ba5fe6ffb4fd236f",2,,,,,,,2,,"KARIAKOO",9,2000,45,60,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-07-13-10","77823385d96a4ef39f7be6319031b730",2,,,,,,,2,,"WAILES",2,6000,,,1,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-07-69-25","bb849df1f4e14d2582979b75b0ddf291",2,,,,,,,1,0,"KAMPUNI YA KILIMO",3,10000,0,0,2,,,3,4,2,4,2,,,,,,,,,,,,,,,
"27-12-97-63","afb28d34da194a019465d81f7053ceab",2,,,,,,,2,,"MBEYA JIJI",3,6000,0,0,2,,,4,4,3,3,2,,,,,,,,,,,,,,,
"27-21-42-62","23d11595c7d641d88dc0278f401da209",2,,,,,,,2,,"SHOPPERS ARUSHA",4,6000,50,50,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-68-78-78","aedcacfe52b545c3b937e62bf904a870",2,,,,,,,2,,"IGAWA",5,6000,3,10,2,,,5,5,2,3,1,12,125,0,0,0,0,0,1,1,1,1,1,0,0,3
"27-75-52-18","3a8327ccf46c4fbb8e06454526487ec1",2,,,,,,,2,,"MWANJELWA",2,6500,,,2,,,1,1,1,1,2,,,,,,,,,,,,,,,
"27-81-45-32","f88aad0aba7a46e5ab437201c76654b8",2,,,,,,,2,,"LIMBANI",1.5,7000,0,1,2,,,3,4,3,4,2,,,,,,,,,,,,,,,
"28-01-45-62","f580fb096aa44beea6c7121578719c47",1,5,75,1,0,0,0,1,7000,"TIBIRINZI",15,7000,0,6,2,,,1,4,1,4,2,,,,,,,,,,,,,,,
"28-02-63-88","1c281ac267df4c18a26fd4a1e21253f8",2,,,,,,,2,,"BANANA",2,10000,20,50,1,875,401,1,3,1,3,2,,,,,,,,,,,,,,,
"28-25-64-39","01b6e49d107447739033640e1a773b32",1,1,12,0,1,0,1,1,7000,"CHANGANYIKENI",12,7000,1,7,2,,,3,1,1,1,2,,,,,,,,,,,,,,,
"28-34-63-03","3d4b4d17201f42bcbfd971e1dc454dbb",1,10,107,1,1,1,0,2,,"KIJIJI CHA IGAGALA NAMBA 5",3,6000,3,2,2,,,5,5,2,2,1,12,121,0,0,0,0,1,1,0,0,0,0,0,0,2
