"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"71-27-07-53","4328-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,400,1,460,2,,,,,,,,,,,,,1,23000
"71-27-07-53","4328-001-02",2,"MAHINDI",11,2,9,11,,,,,,,,,,25,1,460,2,,,,,,,,,,,,,1,23000
"86-93-88-71","4329-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,336,1,420,2,,,,,,,,,,,,,1,21000
"86-93-88-71","4329-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,84,1,420,2,,,,,,,,,,,,,1,21000
"13-46-89-17","4330-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,168,1,210,2,,,,,,,,,,,,,1,15750
"13-46-89-17","4330-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,42,1,210,2,,,,,,,,,,,,,2,
"85-15-73-24","4330-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,16,1,20,2,,,,,,,,,,,,,1,2000
"35-76-82-17","4331-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,300,1,380,2,,,,,,,,,,,,,1,32500
"35-76-82-17","4331-001-02",2,"MAHINDI",11,2,9,11,,,,,,,,,,60,1,380,2,,,,,,,,,,,,,2,
"41-79-32-39","4332-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,780,1,900,2,,,,,,,,,,,,,1,69500
"41-79-32-39","4332-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,120,1,900,2,,,,,,,,,,,,,2,
"41-79-32-39","4332-001-01",3,"MAHARAGE",31,1,2,31,,,,,,,,,,15,1,20,2,,,,,,,,,,,,,2,
"41-79-32-39","4332-001-01",4,"MAHARAGE",31,2,16,31,,,,,,,,,,5,1,20,2,,,,,,,,,,,,,2,
"11-69-06-89","4345-001-02",1,"MAHINDI",11,1,1,11,,,,,,,,,,960,1,960,2,,,,,,,,,,,,,1,18000
